service,Rolling_Stone_500,NME_500,Blues,EDM,Hip-Hop,Jazz,Metal,Pop,R&B,Rock,Western Classical,World Music
amazon,9.6,9.0,8.6,7.1,9.2,8.1,9.4,9.4,9.2,9.0,7.2,7.3
apple,9.8,9.8,8.8,9.2,9.4,8.4,9.8,9.8,9.8,9.8,9.3,8.6
gaana,4.6,4.1,2.1,1.1,3.0,1.5,5.0,4.6,5.4,4.2,1.9,2.1
hungama,7.6,6.8,3.9,2.5,7.5,4.1,5.8,8.1,8.0,5.9,3.3,3.2
jiosaavn,9.1,8.5,8.5,5.5,9.1,7.9,9.1,9.3,9.4,8.8,6.0,7.8
spotify,9.5,9.6,9.0,9.0,9.5,8.6,9.8,9.7,9.6,9.7,9.4,8.8
wynk,7.6,6.6,4.2,2.1,7.2,4.8,7.2,7.7,8.0,7.1,2.1,3.6
ytmusic,9.6,9.6,8.7,8.7,9.2,7.7,9.6,9.7,9.7,9.5,7.6,8.3
