genre,amazon_stars,apple_stars,gaana_stars,hungama_stars,jiosaavn_stars,spotify_stars,wynk_stars,ytmusic_stars
Rolling_Stone_500,5,5,4,4,5,5,4,5
NME_500,5,5,4,3,5,5,3,5
Blues,5,5,2,1,5,5,3,5
EDM,4,5,2,1,3,5,2,5
Hip-Hop,5,5,4,3,5,5,4,5
Jazz,5,5,3,2,4,5,3,4
Metal,5,5,4,2,5,5,4,5
Pop,5,5,4,4,5,5,4,5
R&B,5,5,4,4,5,5,4,5
Rock,5,5,4,3,5,5,4,5
Western Classical,4,5,2,1,3,5,2,4
World Music,4,5,2,1,4,5,2,5
