genre,average
Rolling_Stone_500,8.2
NME_500,7.8
Blues,6.7
EDM,5.6
Hip-Hop,7.9
Jazz,6.3
Metal,8.0
Pop,8.3
R&B,8.5
Rock,7.8
Western Classical,5.8
World Music,6.1
