genre,Best global service,Best global service rating,Best homegrown service,Best homegrown service rating
Pop,Apple,9.8,JioSaavn,9.3
EDM,Apple,9.2,JioSaavn,5.5
Rock,Apple,9.8,JioSaavn,8.8
Metal,Apple,9.8,JioSaavn,9.1
Hip-Hop,Spotify,9.5,JioSaavn,9.1
R&B,Apple,9.8,JioSaavn,9.4
Jazz,Spotify,8.6,JioSaavn,7.9
Blues,Spotify,9.0,JioSaavn,8.5
West'n Class'l,Spotify,9.4,JioSaavn,6.0
World Music,Spotify,8.8,JioSaavn,7.8
